latin_script,arabic_script
DEBBACHA,دباشة
AZOUGLI,أزوغلي
DAHMANE BOUZIAN,دحمان بوزيان
BENSBAA,بن سبع
BELHAFSI,بلحفصي
AZOUGUI,أزوغي
BLIKAZ,بليكاز
MERAIHIA,مريحية
ELHAZATI,الحزاتي
BOUHAMIDI,بوحميدي
RAIAGUE,رياق
AIT BACHIR,أيت بشير
GUERNAH,قرناح
FERHOUM,فرحوم
EL GUEDOUI,القدوي
MERFOUD,مرفود
ANDJOUH,أنجوح
ALLILECHE,الليش
MEHIRISSE,محيريس
BENSAADA,بن سعدة
HOUIBI,حويبي
BOUREGBA,بورقبة
BEN MECHAI,بن مشاي
KOUIDMI,قويدمي
ZELLALI,زلالي
DJADIR,جدير
ADARA,عدارة
SI BACHIR,سي بشير
MEDERRES,مدرس
TILIOUA,تيليوة
DJELLI,جلي
MESSALTI,مسعلتي
BOUHIDEL,بوحيدل
ZEHANI,زهاني
YOUBI,يوبي
BENMIRA ZITOUN,بن ميرة زيتون
HEZOUAT,حزوات
MOHIEDDINE,محي الدين
AHMEDCHAOUCH,أحمد شاوش
NAIT AMEUR,نايت عامر
AOUNALLAH,أون الله
FERKDADJI,فرقداجي
ABLOUL,أبلول
FILALI,فيلالي
LASMI,لعسمي
KHEIR,خير
LEBCHIRI,لبشيري
HADJ ZIANE,حاج زيان
MESSAOUD ABERKANE,مسعود أبركان
CHOHRAOUI,شهراوي
KOUIDRI,قويدري
BAZIZA,بازيزة
BOUDELLA,بودالة
MORSI,مرسي
KEBAILI,كبايلي
AYA,عيا
LARABI,لعرابي
LAGHOUEG,لغويغ
BENNOUIOUA,بن نويوة
YOUSFI,يوسفي
BOUTMEN,بوتمن
CHEBAB,شباب
BOULAACHEB,بولعاشب
BENELMOUHOUB,بن المحب
AIT OUCHEGGOU,أيت وشقو
ADDOU,عدو
BENHATRI,بن حطري
BOULKERAA,بولكراع
BELLID,بليد
AKHNAK,أخناك
CHARRIF,شريف
HABAZ,حباز
SEBAOUNE,سبعون
CHEBALLAH,شبلله
MAHZEM,محزم
GOTBI,قطبي
BOUSNOUNE,بوسنون
BENIMAM,بنيمام
HARIR,حرير
NECHEM,نشم
BOUKHELKHAL,بوخلخال
BOUCEFRES,بوصفرس
MOKHNECHE,مخنش
MAZAR,مزار
HEBBADJ,حباج
DEBACHA,دباشة
MEDJEHED,مجاهد
AOUNI,عوني
KOURBALI,كوربالي
ANOUMOU MESSAN,أنومو ميسان
DEBBOUZA,دبوزة
OUBELLOUT,أوبلوت
HEROUI,هروي
SIARI,سياري
ALLOUANI,علواني
TALI,طالي
AMARI,عماري
REZZAG LEBZA,رزاق لبزة
BENNEDINE,بن ندين
MEKLAT,مكلات
KAHLOUL,كحلول
DJEGHALI,جغالي
HEMAD,حماد
HAMDOUNE,حمدون
BERREDJEM,براجم
FETTOUCHE,فتوش
BOURKEB,بوركاب
HADJ ABDELHAFI,حاج عبد الحفيظ
CHAOUA,شاوة
ZERTAL,زرطال
OUFOUROU,أوفورو
BENSEBA,بن سبع
BAZIZEN,بازيزن
BAKALEM,بكالم
BENGUEDIH,بن قديح
KECHIR,كشير
MOUAD,موعد
IFTICENE,افتيسن
TIZIATIA,تيزياتيا
AFFROUN,عفرون
HANIS,حانيس
LOURDIANE,لورديان
KERZABI,كرزابي
AMIRATS,أميرات
BOUAICHA,بوعيشة
ZENZELAOUI,زنزلاوي
KHEBRARA,خبرارة
BENSEKKA,بنسكة
BOUSNAT,بوسنات
CHERTOUH,شرطوح
BAHAS,بهاس
HARKOUK,هركوك
KAZI AOUAL,قاضي أوال
MERIGHED,مريغد
IMADALEN,إمدالن
GAMANE,قمان
GOUGA,قوقة
AIT ABDESLAM,أيت عبد السلام
ZITOUCHE,زيتوش
BOUAITA,بوعيطة
BOULEKMA,بولكمة
DABOR,دابور
AKARAB,أكراب
GUEZIT,قزيت
GUEMAOUCHE,قماوش
MOUISSI,مويسي
CHAGROUNE,شقرون
DJEMOUAI,جموعي
BALEHOUANE,بالحوان
MELOUANE,ملوان
BOULKESSOB,بولكصوب
BELGHAI,بلغاي
BEN LAHCENE,بن لحسن
HADEF,هادف
BOUCHARA,بوشارة
MOUSSOUM,موسوم
MOUHOUCHE,موحوش
KHATTAR,خطار
TAGRI,تقري
ABI,أبي
TCHEIR,شير
MEGATLI,مقاتلي
KHELIFA OUARED,خليفة وارد
BIDA,بيدة
LOUTANI,لوتاني
AOUACHIA,أوشية
HAMMADI,حمادي
BENATTOU,بن عطو
MENOUER,منور
ROUIBET,رويبات
HADJIAT,حاجات
HALLOO,هالو
DJEHEL,جحل
KHENNOUCI,خنوسي
FEKKAR,فكار
DAMES,دامس
CHERAFT,شرفت
KHIRAT,خيرات
MOHAND SAID,موحند سعيد
ZANABI,زنابي
TAGNIT HAMMOU,تاقنيت حمو
FATES,فاتس
OUZANI,أوزاني
HAROUCHE,حروش
LAZHARI,لزهاري
BENHAMNOU,بن حمنو
HARBACHE,حرباش
GHILAS,غيلاس
BOUKHANNOUCHE,بوخنوش
BENYOUSFI,بن يوسفي
BOUCHERAT,بوشراط
ZEBIBAT,زبيبات
AHRAS,أحراس
ADDAD,عداد
GRAINE,غراين
BAARAOUI,بعراوي
SERRADJ,سراج
KERRAZ,كراز
SENHADJI,سنهاجي
BERRICHE,بريش
KEROUAZ,كرواز
AKCHICHE,أكشيش
MOUSSOUNI,موسوني
CHABANA,شابانا
TAMERT,تامرت
DRABLIA,درابلية
BENYAMOUNE,بن يامون
CHAOUAF,شاواف
TORCH,تورش
OURAGHI,أوراغي
BENABDI,بن عبدي
BEN HEBIL,بن حبيل
HADOUCHI,حدوشي
ZINNEDINE,زين الدين
KADA MEDJAHED,قادة مجاهد
GUELMI,قلمي
ABIAYAD,أبيض
DRISSOU,دريسو
BELHAOUAS,بلحواس
HOUCHINE,حوشين
CHAALEL,شعالل
SEDJELMACI,سجلماسي
HALLOUCHE,حلوش
BOULAHBAL,بولحبال
DJEMMAL,جمّال
BENKEDDACHE,بن قداش
EL‐KFEL,الكفيل
TEMAR,تمار
DOUAL,دوال
BOUDJATIT,بودجاتيت
BOUHLAL,بوحلال
HADDOU BENDERBAL,حدو بن دربال
AHMED MERDOU,أحمد مردو
GAGUECHE,قاقوش
BOUCEKRANE,بوسكران
BOUDRAMA,بودرامة
MALKI,مالكي
NAIT SIDER,نايت سيدر
AMOURAT,عمورات
KHALED BRAHMI,خالد براهمي
TAMALOUST,تملوست
ADOUANE,أدوان
ZERFA,زرفة
ABIB,عبيب
BOUDEDJA,بوددجة
RIMANE,ريمان
BOUMESHED,بومشد
BOUHADJI,بوحاجي
AKSOUM,أكسوم
REDOUANE SALAH,رضوان صلاح
BELOUAHCHI,بلواحشي
NEGHLI,نغلي
CHAFA BELAID,شافع بلعيد
BOUNEHAS,بونحاس
ADJOUT,أجوط
MOULAY LAKHDER,مولاي لخضر
GHEROUFELLA,غروفلا
BENMILOUD,بن ميلود
BELKHATIR,بلخطير
KADDOUR CHERIF,قدور شريف
MECHOU,مشو
DEHISSI,دحيسي
MESSIKH,مسيخ
MOHAMED MERAR,محمد مرار
BENGUERNA,بنقرنة
GUETTAF,قطاف
FERADJI,فراجي
REDDAA,رضا
BENAZOUZ,بن عزوز
BETTOUATI,بتواتي
AIT NAMANE,آيت نعمان
TIBAN,تيبان
ACILA,عسيلة
NOUADHER,نواضر
IDRIS,إدريس
KEROUADI,كروادي
HAMIOUD,حميود
CHERCHEM,شرشم
BENHAMIDCHA,بن حميدشة
LAMAOUCHE,لمعوش
IZERROUKEN,إزروكن
BOULAHROUZ,بولحروز
AOULMI,أولمي
GHELLAI,غلاي
DADOU,دادو
HADADI,حدادي
CHIKIROU,شيكيرو
BEN AMER,بن عامر
BENGHOREIB,بن غريب
BOULAAM,بولعام
MAHROUK,محروق
KETTAL,كتّال
SFAKI,صفقي
DARIAS,دارياس
DJELLOUL,جلول
LIMAM,ليمام
KHLIF,خليف
TIKENTERT,تيكنترت
METIKENE,متيكن
GUEMMAM,جمام
HADADJ,حداج
ELAZIOUTI,الأزيوطي
SOULI,صولي
SENOUCI,سنوسي
CEDIA,سيديا
AIT MATEN,أيت ماتن
CHARIETE,شريط
BELGHECHE,بلغش
BRIKA,بريكة
REDJAIMIA,رجايمية
WALID,وليد
BERIMI,بريمي
AMEUR MOUSSA,عمور موسى
SAMAR,سمر
BENRAIS,بن رايس
BOUSNOU,بوسنو
HASSANINE,حسانين
BARIKALLAH,بارك الله
HADDADJ,حداج
BENCHIKER,بن شيكر
BOUTOURIA,بوتورية
IBTISSEM,ابتسام
BARBARI,بربري
CHERIF SAHRAOUI,الشريف الصحراوي
AHSAM,أحسم
MEZAIR,مزاير
CHAHET,شاهت
KOUROGHLI,كوروغلي
CADI,قاضي
REBBANI,رباني
ABBI,عبي
BOUDRAR,بودرار
HIROUCHE,هيروش
HACHOUR,حاشور
SEBAI,السباعي
ACHEROUF KEBIR,أشروف كبير
BOUCEKKINE,بوسكين
KHERROUR,خروّر
ACHABOUB,أشبوب
BENKHALFOUN,بن خلفون
BORAS,بوراس
CHEBIL,شبيل
BENZEKKA,بن زكة
EL HADEF,الهدف
CHERKIT,شرقيت
BABASSI,باباسي
RACHDI,رشدي
TANIALT,تانيالت
DEBICHE,دبيش
ALILHADJ,علي الحاج
KAKOUCHE,كاكوش
LAFI,لافي
SELLAB,سلاب
YASRI,ياسري
BENNEOUALA,بن نوالة
DERGAM,درقام
MAMECHE,مامش
BOUHADDA,بوحدة
ASMEN,أسمن
GUERGUADJ,غرغاج
KHENNOUNE,خنون
HARMALI,حرمالي
GHRIS,غريس
RIDANE,ريدان
BOUKHEDDACHE,بوخداش
BENHAMLAOUI,بنهملاوي
BOUTIT,بوتيت
LAZOUTI,لازوتي
BENABDELKRIM,بن عبد الكريم
BELFACI,بلفاضي
LAOUAREM,لاوارم
ABALACHE,أبلاش
MERHOUM,مرهوم
OUAGUENNOUNI,واقنوني
BENFADHIL,بن فاضل
HARIM,حريم
GHALLOUS,غالوس
TAALLA,تعالى
BRIHI,بريحي
ZOURDANI,زورداني
DIAFI,ديافي
BOUTELLA,بوتلة
SOUALA,صوالة
BOUTEMTAM,بوتمتام
BOURAHLI,بورحلي
ELIAS,إلياس
OUDRAR,أودرار
ABDELGHEFFAR,عبد الغفار
BOUBEKER,بوبكر
DERBLI,دربلي
BOUZEGANE,بوزغان
HARZINE,حرزين
DIAL,ديال
ALLAOUAT,علاوات
SAHTOUT,صحتوت
MERAZGUIA,مرزقية
MANI,مني
BOUMAAZA,بومعزة
HERAOUI,هراوي
AZIZI,عزيزي
BOUMEDDANE,بومدين
BENFEKIH,بن فقيه
MOUCHARA,مشرع
MEDJALDI,مجالدي
BENNEDDIF,بن نديف
AOUDACHE,عوداش
BARCHI,برشي
GUEMARI,قماري
DJAFFER,جعفر
BENAOUMEUR,بن عمر
BENKHETACHE,بن خطاش
SIAGHI,سياحي
BOUNIL,بونيل
HADJ GUESMI,حاج قاسمي
NEBBOU,نبو
YAKOUBI,يعقوبي
LOMRI,لمري
BEZZAH,بزاح
KAIDARI,قيداري
TINE,تين
REGUIEG ISSAAD,رقيق إسعاد
HEMANA,حمانة
BOUAICHI,بوعيشي
OURIHANE,أوريحان
BOUMLIH,بومليح
BOUKEFFOUSSA,بوكفوسة
KARKOUR,كركور
BENSAFA,بنصافة
BRANCI,برانسي
NOUI,نوي
CHEKAL,شيكال
BECHETELLA ABDELALI,بشتلة عبد العلي
ABIHOURIRA,أبيهوريرة
DELLAG,دلاق
KERMECHE,كرمش
DOUIEB,دويب
CHIA,شيعة
ALLEG,علاق
BOUMEDINI,بومديني
BOUBRAK,بوبراك
SOUADKI,سوادكي
TAIBAOUI,طيباوي
GALLEZE,قليز
DERIAI,درياي
BOUMAOUR,بومعور
HADDOUCHI,حدوشي
BOULAHIA,بولحية
HOUACHE,حواش
TIDARI,تيداري
LAHOUM,لحوم
TAAZIBT,تعزيبت
BENMAZOUZ,بن مازوز
HAMMES,حماس
MEKESSER,مكسر
ZEROUAL,زروال
ARFI,عرفي
BOUBEGTITEN,بوبقتيتن
LACENE,لاسن
OUDALI,ودالي
BARBERIS,بربريس
AIT ABDALLAH,أيت عبد الله
GUERMACHE,قرماش
HAMDOUN,حمدون
ZEKHNINE,زخنين
BECHELAGHEM,بشلاقم
FETNI,فتني
HASSEIN BEY,حسين بي
DJOUDJAI,جودجاي
HAOUCHINE,هوشين
ANAYAT,أنايات
LEFTANI,لفتاني
MOKRAOUI,مقراوي
CHEKEBKEB,شكبكب
SABEUR CHOUIREF,صابور شويرف
MEHENI,مهني
DAHMOUNE,دحمون
BESSADET,بصادت
ABAINIA,أبعينية
BOUKELLAL,بوكلال
KERIKECH,كريكش
LAIBI,لعيبي
BEN YAHIA,بن يحيى
KHERMANE,خرمان
HASNIOU,حسنيو
NADHIR,نظير
BENNOUI,بن نوي
BELGUERMA,بلقرمة
ADHAM,أدهم
BEDAD,بيداد
SADOU,صادو
BOULALOUA,بولعلوة
DALI YOUCEF,دالي يوسف
MOKHTAR AHDOUGA,مختار احدوقة
BOUYAHIAOUI,بويحياوي
AZAZGA,أزازقة
AHMED AMEUR,أحمد عمور
SLAMA,سلامة
GUEROUI,قروي
BEKHOUCH,بخوش
BOUICHER,بويشر
MEDJNAH,مجناح
AROUS,عروس
CHARIF,شريف
GUESMIA,قسمية
KHELAIFI,خلايفي
DADOUA HADRIA,دادوة حدرية
MEHANNEK,مهانك
BOUSHAKI,بوشاكي
FALEK,فالك
HAMROUN,حمرون
AISANI,عيساني
YOUCEF KHODJA,يوسف خوجة
AIT HAMOUDA,أيت حمودة
LEBBIHI,لبيحي
CHABANI,شعباني
GHEBRIOU,غبريو
BENBRIKA,بن بريكة
YAHIATENE,يحياتن
SEKKOUHI,سكوحي
BENZOUZOU,بنزوزو
AIT KHELIFA,آيت خليفة
IGHEBRIOUEN,إغبريون
HENKA,هنكا
DENFIR,دنفير
BENATALLAH,بن عطالله
BOUDOUR HEYEM,بودور حيم
OUHACHI,أوحاشي
FOUL,فول
DADDI HAMMOU,دادي حمو
SEDDAR,سدار
BELGUENDOUZI,بلقندوزي
OULD MOULOUD,ولد مولود
LAKHEL,لاخل
FARROUDJ,فاروج
LALLA,للا
BERBER,بربر
NAIT MESSAOUDEN,نايت مسعودن
DJEBALI,جبالي
CHAGHI,شاغي
KERNAF,كرناف
BENTIFOUR,بن طيفور
RAYAH,راية
ADOUKA,أدوقة
DJABER,جابر
MERIAI,مرياي
ASSOUSSOUD,أسوسود
IGUERGUIT,إيقرقيت
BEN,بن
BENHADDYA,بن حدية
BAATI,بعاطي
SIDI BOULENOUAR,سيدي بولنوار
BENTERAA,بن طراء
DJELLAOUI,جلاوي
NEDJOUH,نجوح
BELAGGOUNE,بلقون
SERAY,سراي
MAHIDDINE,محي الدين
BOUBLENZA,بوبلنزة
GUERROUAHEN,قرواحن
ATIA,عطية
BOUDJIT,بوجيت
BOUZOUIKA,بوزويقة
NOUNI,نوني
MOROUCHE,موروش
SADOUT,صادوت
SOGAI,سوقاي
ASTIT,أستيت
TOUABTI,توابتي
ABDOUN,عبدون
HASSIANI,حسياني
BAADJ,بعاج
ABAD,عباد
ACHOUROUNE,أشورون
OUSERIR,أوسرير
KETTOUCHE,كتّوش
SEMMOUD,سمّود
HABIB ATTOU,حبيب عطو
BADIS,باديس
ISSAD,إيساد
BENBAIZID,بن بعيزيد
BOUCEFFA,بوسفة
KECIS,كاسيس
BOUACHI,بوعاشي
GRIB,غريب
MEZIMECHE,مزيمش
SIDI MAMMAR,سيدي معمر
BOULEMALI,بولمعالي
MAAREDJ,معارج
MENSER,منصر
CHEA,شيعة
RAIAH,رعية
OUDJEBARA,أودجبارة
SADI,سعدي
OULKADI,أولكادي
FERIEL,فريال
DAAS,دعاس
MEHAMSADJI,محمصاجي
BENMAKRELOUF,بن مكرلوف
OULD BOUKHITINE,ولد بوخيطين
BAKOURI,بكوري
BAGHLI,بغلي
ATTOUCHE,عتوش
HADJILA,حجيلة
BENHEROUAL,بن حروال
CHELIGHEM,شليغم
TIBIGUI,تيبيقي
OUALI MEHADJISABRINE,والي مهاجي صبرين
BAMMOU,بمو
OUANNES,وانيس
SEKRANE,سكران
LEMOU,لمو
BOUNGAB,بونقاب
TOUR,طور
TOUBAL,توبال
AMRIOUI,عمريوي
KYAMAGANA LISA,كياماجانا ليزا
AIT IDDIR,أيت إيدير
BOUZAZA,بوزازة
BOUKAROURA,بوكارورة
MEFTI,مفتي
KACHETEL,كاشتال
LOUZNADJI,لوزنادجي
GHORIDI,غوريدي
HACENA,حسينة
MERIDA,ميريدا
KAHIL,كحيل
AFFANE,عفان
AHMED CHAOUCHE,أحمد شاوش
REMLI,رملي
RABIE,ربيع
BENDJABALLAH,بن جبالة
SIDI KADA,سيدي قادة
REBBA,ربة
DOUCENE,دوسن
KHEDDALI,خدالي
HEMILI,حميلي
KERIZ,كريز
AIT IBRAHIM,أيت إبراهيم
KONATE,كوناتي
SELIMAN BOUASBANA,سليمان بوعصبانة
SI KADDOUR,سي قدور
KELTOUMI,كلتومي
BOUROUGA,بوروقة
IABOUTENE,يابوتن
BENANE,بنان
AMIALI,أميالي
ZEBDI,زبدي
HAKAM,حكم
BELMILOUD,بلميلود
HARAMI,حرامي
BENHAMIMED,بن حميمد
FEKIK,فكيك
MESSOUS,مسوس
HABLA,حبلة
MAAMES,معمر
MAHMOUD BACHA,محمود باشا
KHALLOUT,خلوت
KOUAM,كوام
BAZ,باز
KHECHA,خشع
DJOUIBER,جويبر
HADDECHE,حداش
BOUCHEKAL,بوشكال
MIA MEFTAH,ميع مفتاح
SI MOHAMED,سي محمد
DEHMOUS,دهموس
BOUKENKOUL,بوكنقول
BENETTAYEB,بن الطيب
TAFFATTE,تفات
DELGHAL,دلغال
CHELFI,شلفي
BOUKHATEM FERIEL,بوخاتم فريال
LEBLI,لبلي
BOUZID DAHO,بوزيد داهو
HALFAOUI,حلفاوي
DJAOUANE,جاوان
CHETITAH,شتيتة
GUENDOUZ,قندوز
LALLEM,لعلم
صحب,This is already in Arabic script.
SENOUS,سنوس
KEZZAR,كزار
CHAHBOUB,شحبوب
BASLIMANE,بسليمان
DJENDI,جندي
LACHICHI,لشيشي
MEKDOUD,مقدود
BENOUDIBA,بن عديبة
MWAGERU,مواجرو
MELLAOUI,ملاوي
DJELOUAHI,جلواحي
SAAD AZZEM,سعد عزام
TAGHOUZI,تاغوزي
DABOULOU,دابولو
SABABOU,سبابو
NANI,ناني
MOHAMED LAMIN,محمد لمين
GUEBEUR,قبور
TIZI,تيزي
KERRAI,كراي
REHAMNIA,رحمانية
DEBADJI,دباجي
TIGUERCHA,تيقرشة
BARAKA,بركة
BOUHANNACHE,بوحناش
KEDADSA,قدادسة
TOGUES,توقاس
MOUSSAMRI,موسمري
BENSAHLA TANI,بن صحلة طاني
LOUMI,لومي
OUCHENE,أوشان
SAHNINE,ساهنين
BALI,بالي
FALL,فال
MALLOUL,ملول
MOHAMMED SEGHIR,محمد الصغير
FOURAR LAIDI,فورار لايدي
TIBEHHAR,تيبحار
BEN HAMADI,بن حمادي
CHERMECHOU,شرمشو
OURABIA,أورابية
MEKIRI,مكيري
SOUALI,صوالي
DJELLED,جلد
HASSOUNI,حسوني
LAIB,لعيب
LAADJAL ADJEL,لعجال أجل
BOUTALBI,بوطالبي
REGAIA,رقاية
BENHALLA,بن حلا
REKKIS,رقيس
ALLAOUI,علاوي
HEBHOUB,حبحوب
HARCHEB,هرشب
BOUGUERNE,بوقرن
BOULKOUR,بولكور
FALHI,فالحي
TIKHEMARIN,تيخمارين
MEROUANE,مروان
KATEB,كاتب
BELARIF,بلعريف
ABAIR,عبير
YOUCEF AZOUZ,يوسف عزوز
AIANE,عيان
HALLES,حالس
ARAIDJ,أرايج
BEY OMAR,بي عمر
GUIDOUN,قيدون
SEKHI,سخي
MEDDAD,مداد
FERHANE,فرحان
YAHIA MAMOUNE,يحيى مأمون
TATAI,تطاي
